Region,Product Category,Sales Amount,Quarter,Year,Profit Margin,Order Date,Customer Type,Employee ID
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,Appetizer - Chicken Satay,GTQ,Q2,2010,8,10/16/2023,Retail,55
田中さんにあげて下さい,Contreau,IDR,Q2,2011,33,07/18/2024,Wholesale,56
`⁄€‹›ﬁﬂ‡°·‚—±,Compound - Mocha,PHP,Q3,2005,17,10/15/2023,Wholesale,57
Œ„´‰ˇÁ¨ˆØ∏”’,"Pasta - Fusili, Dry",IDR,Q3,2001,58,07/01/2024,Wholesale,58
NIL,Lighter - Bbq,EUR,Q3,1996,54,07/31/2024,Retail,59
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,Cookies Oatmeal Raisin,IDR,Q1,1968,71,03/19/2024,Wholesale,60
ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,Rabbit - Legs,IDR,Q2,1994,79,03/27/2024,Wholesale,61
١٢٣,Water - Aquafina Vitamin,SOS,Q2,1997,77,12/08/2023,Wholesale,62
$1.00,Cheese - Pied De Vents,KZT,Q4,2010,60,06/30/2024,Retail,63
0.00,"Wine - Harrow Estates, Vidal",VND,Q2,1994,65,11/24/2023,Wholesale,64
 test ,Soup Knorr Chili With Beans,CNY,Q3,1990,99,02/08/2024,Wholesale,65
../../../../../../../../../../../etc/passwd%00,"Noodles - Cellophane, Thin",CNY,Q3,1966,2,10/19/2023,Wholesale,66
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Pork - Belly Fresh,QAR,Q4,2008,95,11/06/2023,Retail,67
1E02,Coffee Cup 12oz 5342cd,EUR,Q3,1995,19,12/23/2023,Wholesale,68
"""''''""'""",Wine - Wyndham Estate Bin 777,EUR,Q4,2012,28,04/20/2024,Wholesale,69
‪‪test‪,Appetizer - Assorted Box,CAD,Q3,1992,84,08/08/2024,Wholesale,70
"""""",Fork - Plastic,BRL,Q2,1991,35,10/16/2023,Retail,71
1'; DROP TABLE users--,Pan Grease,TZS,Q3,2001,57,12/13/2023,Wholesale,72
⁦test⁧,Lamb - Shoulder,CNY,Q1,2010,44,03/02/2024,Retail,73
␣,Cake Slab,PLN,Q2,2006,97,04/11/2024,Retail,74
<svg><script>0<1>alert('XSS')</script>,Apple - Macintosh,EUR,Q3,2012,37,07/14/2024,Wholesale,75
⁦test⁧,Spinach - Baby,CAD,Q4,2004,39,02/21/2024,Retail,76
Ω≈ç√∫˜µ≤≥÷,"Crab - Back Fin Meat, Canned",EUR,Q1,2009,54,09/06/2024,Wholesale,77
œ∑´®†¥¨ˆøπ“‘,"Cheese - Havarti, Roasted Garlic",RUB,Q2,1984,43,10/09/2023,Wholesale,78
"__ﾛ(,_,*)",Corn Syrup,USD,Q2,1996,34,02/17/2024,Retail,79
1E+02,Wine - Cava Aria Estate Brut,EUR,Q3,1988,23,08/23/2024,Wholesale,80
null,Water Chestnut - Canned,EUR,Q2,2001,21,10/07/2023,Retail,81
̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,Numi - Assorted Teas,JPY,Q4,1996,10,05/13/2024,Wholesale,82
-1E02,Chinese Foods - Chicken,EUR,Q4,1994,23,11/11/2023,Wholesale,83
null,Mace,HNL,Q4,2009,34,10/24/2023,Retail,84
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ","Lamb - Leg, Bone In",PHP,Q1,1993,27,01/26/2024,Wholesale,85
🐵 🙈 🙉 🙊,"Fish - Artic Char, Cold Smoked",EUR,Q1,2002,34,04/10/2024,Retail,86
・(￣∀￣)・:*:,Pickerel - Fillets,CRC,Q4,2009,88,12/25/2023,Retail,87
() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },Crab - Meat,COP,Q2,1997,70,02/27/2024,Retail,88
,Lid Tray - 16in Dome,EUR,Q3,2010,1,09/06/2024,Wholesale,89
(╯°□°）╯︵ ┻━┻)  ,Aspic - Amber,AZN,Q3,1989,74,07/27/2024,Wholesale,90
・(￣∀￣)・:*:,Oil - Canola,PLN,Q1,1999,6,12/05/2023,Wholesale,91
田中さんにあげて下さい,"Rice Pilaf, Dry,package",BZD,Q2,1988,43,10/11/2023,Wholesale,92
-1E2,Danishes - Mini Cheese,KYD,Q1,2009,65,11/22/2023,Wholesale,93
-1E2,Grapes - Black,MGA,Q3,2009,42,06/20/2024,Retail,94
⁰⁴⁵₀₁₂,Compound - Raspberry,IDR,Q4,2008,57,09/14/2024,Wholesale,95
<script>alert('hi')</script>,"Pasta - Shells, Medium, Dry",UAH,Q3,2000,41,11/03/2023,Retail,96
｀ｨ(´∀｀∩,Truffle Shells - Semi - Sweet,MYR,Q2,1984,3,09/06/2024,Retail,97
⁦test⁧,"Tray - Foam, Square 4 - S",PLN,Q4,1991,97,11/02/2023,Retail,98
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,Shallots,EUR,Q4,2009,90,11/12/2023,Retail,99
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,"Vodka - Hot, Lnferno",PHP,Q3,2010,5,01/01/2024,Retail,100
-1.00,Cookies Almond Hazelnut,BAM,Q1,2004,24,10/11/2023,Retail,101
() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },Huck Towels White,EUR,Q3,2010,35,10/18/2023,Retail,102
$1.00,"Pasta - Penne Primavera, Single",IDR,Q2,2009,77,03/03/2024,Retail,103
Ω≈ç√∫˜µ≤≥÷,Browning Caramel Glace,KZT,Q3,2007,44,05/13/2024,Retail,104
1.00,"Pasta - Penne, Lisce, Dry",RUB,Q1,1994,74,02/04/2024,Retail,105
﻿,Flour - Masa De Harina Mexican,USD,Q1,2007,95,03/27/2024,Wholesale,106
1;DROP TABLE users,"Water - Spring Water, 355 Ml",USD,Q1,1995,34,08/04/2024,Wholesale,107
NIL,Jolt Cola,IDR,Q2,2006,62,09/09/2024,Wholesale,108
"""''''""'""",Tea - Vanilla Chai,CNY,Q3,1989,74,09/21/2024,Retail,109
1/2,Scallops - 10/20,UAH,Q4,2010,53,12/04/2023,Retail,110
🐵 🙈 🙉 🙊,Chicken - Soup Base,CNY,Q1,2007,75,10/19/2023,Retail,111
🐵 🙈 🙉 🙊,Cheese - Ermite Bleu,UAH,Q2,1994,97,04/30/2024,Wholesale,112
-1,Dc - Sakura Fu,CNY,Q2,1998,38,10/04/2023,Retail,113
﻿,Radish,IDR,Q4,2010,66,12/25/2023,Wholesale,114
0/0,Soup - Verve - Chipotle Chicken,THB,Q3,2010,81,10/05/2023,Retail,115
../../../../../../../../../../../etc/passwd%00,"Pasta - Penne, Lisce, Dry",CDF,Q4,2011,74,04/18/2024,Retail,116
<script>alert('hi')</script>,"Marjoram - Dried, Rubbed",MZN,Q3,2005,80,09/16/2024,Retail,117
NULL,Cheese - Gouda Smoked,PEN,Q2,1995,19,10/01/2023,Retail,118
﻿,Wine - Coteaux Du Tricastin Ac,BRL,Q4,1986,67,12/09/2023,Retail,119
¡™£¢∞§¶•ªº–≠,Cinnamon - Ground,RSD,Q4,2009,23,04/26/2024,Retail,120
˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,"Pasta - Lasagna Noodle, Frozen",PHP,Q1,1991,7,06/26/2024,Wholesale,121
() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },Salt - Seasoned,GBP,Q1,2007,76,11/23/2023,Retail,122
/dev/null; touch /tmp/blns.fail ; echo,"Wine - White, Pinot Grigio",EUR,Q1,1992,35,06/05/2024,Wholesale,123
"'""'",Buffalo - Striploin,PLN,Q2,1990,27,06/17/2024,Retail,124
1'; DROP TABLE users--,Monkfish - Fresh,PEN,Q3,2000,22,08/29/2024,Wholesale,125
nil,Cheese - Brie,XAF,Q4,1998,30,05/11/2024,Retail,126
00˙Ɩ$-,Steamers White,BRL,Q3,2006,44,11/29/2023,Retail,127
",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",Appetizer - Lobster Phyllo Roll,JPY,Q2,2004,55,04/26/2024,Retail,128
<svg><script>0<1>alert('XSS')</script>,Brandy - Bar,EUR,Q2,1999,97,03/02/2024,Retail,129
｀ｨ(´∀｀∩,"Lamb - Racks, Frenched",CZK,Q4,1960,36,08/14/2024,Wholesale,130
1,Bread - Pita,NGN,Q1,2013,72,12/19/2023,Retail,131
　,Nantucket - Pomegranate Pear,CNY,Q1,1996,100,07/02/2024,Wholesale,132
הָיְתָהtestالصفحات التّحول,Wiberg Cure,RUB,Q4,1986,78,06/22/2024,Retail,133
0/0,Sauce - Sesame Thai Dressing,HNL,Q1,2005,87,08/26/2024,Retail,134
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Foie Gras,PKR,Q2,1999,5,03/28/2024,Wholesale,135
１２３,Chef Hat 25cm,KZT,Q1,2005,69,11/25/2023,Retail,136
,"Rum - Cream, Amarula",CNY,Q4,2009,10,05/08/2024,Retail,137
　,"Pail - 4l White, With Handle",CNY,Q4,1990,12,08/28/2024,Wholesale,138
̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,"Jam - Strawberry, 20 Ml Jar",ZWL,Q1,1995,6,08/07/2024,Retail,139
␣,Cheese - Roquefort Pappillon,CNY,Q3,2001,41,07/01/2024,Retail,140
社會科學院語學研究所,Latex Rubber Gloves Size 9,PAB,Q4,2004,7,05/08/2024,Retail,141
1;DROP TABLE users,Sobe - Lizard Fuel,SYP,Q2,2007,70,12/17/2023,Wholesale,142
1.00,"Carrots - Mini, Stem On",PHP,Q1,1990,70,11/08/2023,Retail,143
œ∑´®†¥¨ˆøπ“‘,Cookies Oatmeal Raisin,ARS,Q4,1996,64,01/08/2024,Retail,144
åß∂ƒ©˙∆˚¬…æ,Oil - Safflower,CNY,Q4,1995,24,06/19/2024,Retail,145
<img src=x onerror=alert('hi') />,Wine - Charddonnay Errazuriz,SLL,Q3,1998,70,10/12/2023,Retail,146
<script>alert('hi')</script>,Beef - Salted,RUB,Q1,1987,27,07/05/2024,Wholesale,147
"""",Table Cloth 62x114 Colour,EUR,Q2,2002,3,10/31/2023,Retail,148
和製漢語,"Rosemary - Primerba, Paste",EUR,Q3,2009,1,08/03/2024,Retail,149
・(￣∀￣)・:*:,Juice - Happy Planet,CNY,Q1,1993,9,05/05/2024,Wholesale,150
1E2,Wine - Zinfandel California 2002,CNY,Q3,2005,3,06/14/2024,Wholesale,151
 test ,Bread - Malt,PLN,Q2,2004,53,09/25/2024,Retail,152
사회과학원 어학연구소,Wine - Charddonnay Errazuriz,PLN,Q2,1992,97,07/22/2024,Retail,153
NIL,Water - Aquafina Vitamin,USD,Q3,1997,26,01/19/2024,Wholesale,154
‫test‫,Wine - Gato Negro Cabernet,IDR,Q1,1995,75,10/23/2023,Retail,155
'',Energy Drink Red Bull,SEK,Q4,1995,26,02/16/2024,Retail,156
⁰⁴⁵,Papadam,EUR,Q1,2012,6,06/12/2024,Retail,157
$1.00,Wine - Sawmill Creek Autumn,IDR,Q3,1999,4,12/11/2023,Retail,158
‪‪test‪,Container - Clear 16 Oz,CNY,Q2,1988,39,05/26/2024,Retail,159
null,"Club Soda - Schweppes, 355 Ml",NZD,Q2,2005,14,03/21/2024,Retail,160
"""",Muffin Mix - Blueberry,PHP,Q1,2005,54,01/28/2024,Retail,161
・(￣∀￣)・:*:,Steampan - Lid For Half Size,IDR,Q4,2012,34,01/21/2024,Wholesale,162
() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },Bar - Granola Trail Mix Fruit Nut,CNY,Q2,1999,74,07/06/2024,Retail,163
(｡◕ ∀ ◕｡),Sugar - Palm,ALL,Q4,1997,73,09/29/2023,Retail,164
åß∂ƒ©˙∆˚¬…æ,Croissants Thaw And Serve,USD,Q4,1987,76,09/01/2024,Retail,165
 test ,Cake - Sheet Strawberry,BRL,Q2,2005,6,09/30/2023,Wholesale,166
​,"Wine - White, Mosel Gold",RSD,Q2,1997,78,02/08/2024,Wholesale,167
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,"Lamb - Whole Head Off,nz",CNY,Q3,2004,83,10/15/2023,Retail,168
"""'""'""''''""",Blueberries,CNY,Q1,1969,91,06/17/2024,Retail,169
$1.00,"Pasta - Detalini, White, Fresh",CNY,Q4,2010,89,07/10/2024,Wholesale,170
・(￣∀￣)・:*:,Cocoa Butter,MGA,Q1,2011,7,05/09/2024,Retail,171
｀ｨ(´∀｀∩,Bread - Raisin Walnut Pull,BRL,Q3,1993,41,07/30/2024,Wholesale,172
␣,Remy Red Berry Infusion,PLN,Q4,1995,56,01/03/2024,Wholesale,173
🐵 🙈 🙉 🙊,Milk - 1%,BRL,Q4,2006,87,06/04/2024,Wholesale,174
␡,Assorted Desserts,IDR,Q3,2008,97,12/22/2023,Wholesale,175
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Icecream - Dstk Super Cone,CZK,Q4,2001,30,09/21/2024,Wholesale,176
0.00,"Basil - Primerba, Paste",VEF,Q1,2005,41,07/23/2024,Wholesale,177
␣,"Coke - Diet, 355 Ml",IDR,Q1,2009,6,11/11/2023,Wholesale,178
<img src=x onerror=alert('hi') />,Ecolab - Lime - A - Way 4/4 L,UAH,Q4,2010,29,03/25/2024,Wholesale,179
¸˛Ç◊ı˜Â¯˘¿,Pie Filling - Pumpkin,PLN,Q4,1994,33,02/11/2024,Retail,180
/dev/null; touch /tmp/blns.fail ; echo,Cookie Choc,TMT,Q3,1992,4,11/19/2023,Retail,181
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,"Bread - Roll, Canadian Dinner",EUR,Q4,1992,78,01/24/2024,Retail,182
<script>alert('hi')</script>,Yeast Dry - Fermipan,CZK,Q3,2008,45,12/16/2023,Wholesale,183
🐵 🙈 🙉 🙊,"Olives - Green, Pitted",RUB,Q3,1979,22,11/16/2023,Wholesale,184
1E02,Butcher Twine 4r,THB,Q3,2007,83,11/07/2023,Wholesale,185
​,Pork - Hock And Feet Attached,CAD,Q2,2008,48,09/29/2023,Wholesale,186
nil,Water - Perrier,EUR,Q4,1998,65,05/05/2024,Retail,187
👩🏽,Bread - Onion Focaccia,RUB,Q3,1990,84,01/05/2024,Retail,188
␣,Pickle - Dill,CNY,Q1,2009,17,02/29/2024,Retail,189
åß∂ƒ©˙∆˚¬…æ,Peas Snow,AZN,Q4,1987,67,12/20/2023,Retail,190
​,Smoked Paprika,IDR,Q2,1992,89,07/18/2024,Retail,191
ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,Myers Planters Punch,COP,Q4,2000,61,03/16/2024,Retail,192
<script>alert('hi')</script>,Pastry - Apple Muffins - Mini,RUB,Q1,2009,54,09/19/2024,Retail,193
../../../../../../../../../../../etc/hosts,Pastry - Plain Baked Croissant,CZK,Q3,1992,9,04/15/2024,Retail,194
../../../../../../../../../../../etc/hosts,Allspice - Jamaican,UGX,Q1,2007,55,12/04/2023,Retail,195
⁰⁴⁵₀₁₂,Puree - Raspberry,IDR,Q1,1992,84,07/24/2024,Retail,196
œ∑´®†¥¨ˆøπ“‘,"Salmon - Atlantic, Fresh, Whole",JPY,Q3,1972,55,05/17/2024,Wholesale,197
<img src=x onerror=alert('hi') />,Dip - Tapenade,EUR,Q2,1992,70,04/09/2024,Retail,198
1/0,Salmon Atl.whole 8 - 10 Lb,IDR,Q1,2000,86,05/22/2024,Retail,199
😍,Pastry - Cherry Danish - Mini,COP,Q3,2006,69,09/24/2024,Retail,200
() { 0; }; touch /tmp/blns.shellshock1.fail;,Bread - Crusty Italian Poly,IDR,Q4,1996,42,04/08/2024,Wholesale,201
-1.00,Cookie - Oreo 100x2,EUR,Q1,1991,69,02/02/2024,Retail,202
'',Cake - Mini Potato Pancake,PHP,Q3,2007,32,11/22/2023,Retail,203
() { 0; }; touch /tmp/blns.shellshock1.fail;,"Cheese - Cheddar, Mild",PHP,Q1,1992,4,02/04/2024,Wholesale,204
0/0,Extract - Raspberry,UAH,Q4,1993,38,03/21/2024,Retail,205
¸˛Ç◊ı˜Â¯˘¿,"Ranchero - Primerba, Paste",CNY,Q1,2008,42,12/17/2023,Retail,206
社會科學院語學研究所,Cake - Miini Cheesecake Cherry,IDR,Q2,1996,66,08/18/2024,Wholesale,207
